id,label
44,IT WILL NOT BE SAY FOR YOU TO STAY HERE NOW
45,PRAY FOLLOW US WITH MINE IN MY LORD SHERIFF'S MEN
46,NOT A YOUNG CASTLE WAS REACHED AND ADMITTANCE WAS DEMANDED
47,MASTER MONSIEU THE SHERIFF HAD NODDINGHAM WAS MIGHTY PUT ABOUT WENT TOLD OF THE RIOTING
48,AND HENRY MIGHT RETURN TO ENGLAND AT ANY MOMENT
49,HAVE YOUR WILL CHILD IF THE BOY ALSO WILL SIT IN MOGHTY SHAY ANSWERED FEELING TO ILL TOO POST ANYTHING VERY STRONGLY JUST THEN
50,HE MADE AN EFFORT TO HIDE AS CONDITION FROM THEM ALL AND ROBIN FELT HIS FAINTERS TIGHTEN UPON HIS ARM
51,MAKE ME A ROOM OF THE SHERIFF CHILD QUICKLY
52,BUT WHOSE AS FELLOW PLUCKING ARE SPEEVE
53,HE IS MY ESQUIRE EXCELLENCY RETURNED ROBIN WITH DIGNITY
54,MISTRESS FITUTE HAD BEEN CARRIED OFF BY THE SHARIFF'S DAUGHTER AND HER MAIDS AS SOON AS THEY HAD ENTERED THE HALLIST THAT ROBIN ALONE HAD THE CARE OF MOPPISHA
55,ROBIN WAS GLAD WIN AT LENGTH THEY WERE LEFT TO THEIR OWN DEVICES
56,THE WIND IT CERTAINLY BRING BACK THE COLOR TO THE SQUIRE'S CHEEKS
57,THESE ESCAPATES ARE NOT FOR OLD CAME WILL LED HIS DAY HAS COME TO TWILIGHT
58,WILL YOU FORGIVE ME NOW
59,IT WILL BE NO DISAPPOINTMENT TO ME
60,NO THANKS I AM GLAD TO GIVE YOU SUCH EASY HAPPINESS
61,YOU ARE WORTH LEAGUE WILL PRESENTLY WITH PRECROVENT THE WHITE HAS WORKED A MARFLE
62,I AND SHOW YOU SOME PRETTY TRICKS
63,TYOUNG FITSOOTH HAD BEEN COMMANDED TO HIS MOTHER'S CHAMBERS OF SOON AS HE HAD COME OUT FROM HIS CONVERSE WITH THE SQUIRE
64,THERE BE FELL AN ANXIOUS INTERVIEW MISTRESS PHITOTHOURGUING FOUR AND AGAINST THE SQUIRE'S PROJECT IN THE BREATH
65,MOST OF ALL ROBIN THOUGHT OF HIS FATHER WHAT WAS HE COUNSEL
66,IF FUR WHEN YOU BEGGER YOURSELF I CANNOT STAY YOU
67,BUT TAKE IT WHILST TY LIVE AND WHERE MONTH SHADES SHIELD IN THE DAYS WHEN MY EYES CAN BE REJOICED BY SO BRAVE A SIGHT FOR YOU WILL NARROW DISGRACE OUR STUTCH AND I WARNED ME
68,THE LIGHT ADJECTIVE THEN
69,NEVER THAT SIR HE HAD SAID
70,HE WAS AN DEEP CONFERECE WITH THE CLERK AND ENTERED THE WHOLE HOLDING HIM PLIKE THE ARM
71,NOW TO BED BOY
72,TIS LATE AND I GO MYSELF WITHIN A SHORT'S BASE
73,DISMISSER SSSSSS RRR ROBIN AND BID MIGOOTY IN
74,AS ANY AN ENGLAND I WOULD SAY SUCH CAME WHILE PROUDLY THAT IS IN HIS DAY
75,YET HE WILL TEACH YOU A FEW TRICKS WHEN MORNING HAS COME
76,THERE WAS NO CHANCE ALTER HIS SLEEPING ROOM TO ONE DEAR TO GAIN WELL'S CHAMBER
77,PRESENTLY HE CROSSED THE FLOOR OF HIS ROOM WITH DECIDED STEP
78,WILL CRIED HE SOFTLY AND STUDY WHO ATTUISED IN HIS COLORT ACROSS THE DOOR OF HIS YOUNG MASTER'S CHAMBER SPRANG UP AT ONCE AT ANSWER
79,WE WILL GO OUT TOGETHER TO THE BOWER THERE IS AWAY DOWN TO THE COURCH MY WINDOW
80,REST AND BE STILL UNTIL I WARN YOU
81,THE HOURS PASSED WE EARLY BY AND MOVEMENT COULD YET BE HEARD ABOUT THE WHOLE
82,AT LAST ALL WAS QUIET AND BLACK IN THE COURTYARD OF GAME WILL
83,WILL WAS PREGROBIN OPENING HIS DOOR AS HE SPOKE ARE YOU READY
84,THEY THEN RENEWED THEIR JOURNEY AND UNTO THE BETTER LIGHT MADE TO SAVE CROSSING OF THE STABLE ROOFS
85,ROBIN ENTERED THE HUT DRAGGING THE UNWILLING ESQUIRE AFTER HIM
86,BE NOT SO FOOLISH FRIEND SAID FISTER TOOTH CROSSLY
87,THEY MOVED THEREAFTER CAUTIOUSLY ABOUT THE HUT GROPING BEFORE AND ABOUT THEM TO FIND SOMETHING TO SHOW THAT THE MORRINTON HAD FULFILLED HIS MISSION
88,THEY WERE UPON THE VIRGIN OF OPEN TRAP IN THE FAR CORNER OF THE HUT AND STOLE HE TRIPPED OVER THE EDGE OF THE REVERSED FLAP MOUTH OF THIS PIT
89,FITSOUTH'S HAND RESTED AT LAST UPON THE TOP ROUND OF A LADDER AND SPLOLY THE TRUTH CAME TO HIM
90,ROBIN CAREFULLY DESCENDED THE LATTER AND FOUND HIMSELF SOON UPON FIRM BROCKY GROUND
91,HIS STUDY WAS BY HIS SIDE IN THE FLASH AND THEN THEY BOTH BEGAN FEELING ABOUT THEM TO ASCERTAIN THE SHAPE AND CHARACTER OF THIS VAULT
92,FROM THE BLACKNESS BEHIND THE LIGHT THEY HEARD A VOICE WARRINTONS
93,SAVEDLY A MASTER SWE YOU STARTLED ME RARELY
94,CRIED HE WAVING THE LANTERN BEFORE HIM TO MAKE SURE THAT THESE WERE NO GOOSE AND FRONT OF HIM
95,INQUIRED ROBIN WITH HIS SUSPICION STILL UPON HIM
96,TRULY SUCH A HORSE WOULD BE WORTH MUCH AND NOTDING HIM FAIR
97,DAIN IS LOWEREDING ANSWERED WARENTION WITH A HALF LAUGH
98,WARRANTON SPOKE THUS WITH SCIFICANCE TO SHOW ROBIN THAT HE WAS NOT TO THANK JEFFERIES CLAIMED TO THE ESTATE WITH BE PASSED BY
99,ROBIN FITS OUTH SAW THAT HIS DOUBTS OF WARRANT AND HAD BEEN ON FAIR AND HE BECAME ASHAMED OF HIMSELF FOR HARPERING THEM
100,HIS TONES RANG PLEASANTLY UNWORRINTON'S EARS AND FORTHWITH A GOOD FELLOWSHIP WAS HERALDED BETWEEN THEM
101,THE OLD SERVANT TOLD HIM QUIETLY AS THEY CREPT BACK TO GAIN WELL THAT THIS PASSAGEWAY LED FROM THE HUT ON THE PLEASANTS TO SURE WOOD AND THAT JEFFERRY FOR THE TIME WAS HIDING WITH THE OUTLAWSING THE FOREST
102,HE IMPLORES US TO BE DISCREETED THE GRIEVE IN THIS MATTER FOR IN SWOOTH HIS LIFE AS IN THE HOLLOW OF OUR HANDS
103,THEY REGAIN THE REPARTMENT APPARENTLY WITHOUT DISTURBING THE HOUSEHOLD GAINWELL
104,ALSO ARE WAY POPULAR CONDRIVANCE REHAH BY LOVE NAKING MAY BE SUSPENDED BUT NOT STOPPED DURING THE PICK NEXESON
105,HURRANG THE TIRESOME PRODUCT OF A TIRELESS TONGUE
106,ANGOR PANE PAINTRAL TO HEAR
107,HAY FEVER A HARD TREBERAL CAUSED BY FALLING IN LOVE WITH A GRASS WIDOW
108,HEAVEN A GRED PLACE TO BE RAISED TO
109,HEDGE OFFENCE
110,HEREDITY THE CAUSE OF ALL OUR FOLDS
111,HOARSE SENSE A DEGREE OF WISDOM THAT KEEPS ONE FROM BETTING ON THE RACES
112,HOW MAN'S EXCUSE FOR WEFTING THE WALK
113,HOW TELL A PLACE WHERE A GUEST OFTEN GIVES UP A GOOD DOLLARS FOR POOR PORTERS
114,HOW SCLEANING A DOMESTIC APHEBIL AND THAT MAKES IT EASY FOR THE GOVERNMENT TO ENLIST ALL THE SOLDIERS AT NEEDS
115,HASBENNED THE NEXT THING TO A WIFE
116,HASSY WOMAN AND BOND TIE
117,TIED TO A WOMAN
118,CAPICRIT A HOARSE DEARER
119,THOSE PRETTY WRONGS THAT LIBERTY COMMITS WHEN I AM SOME TIME ABSENT FROM MY HEART THY BEAUTY AND THY YEARS FULL WELL DIFFICUS FOR STILL TEMPTATION FOLLOWS WHERE THOU ART
120,I ME
121,NO MATTER BEEN ALTHOUGH MY FOOT DID STAND UPON THE FARTHEST EARTH REMOVED FROM THEE FOR NIMBLE THOUGHT CAN JUMP BOTH SEA AND LAND AS SOON AS THINK THE PLACE WHERE HE WOULD BE BUT AH
122,THOUGHT KILLS ME THAT I AM NOT THOUGHT TO LEAD LARGE LENGTHS OF MILES WHEN NOW ART GONE BUT THAT SO MUCH OF EARTH AND WATER WROUGHT I MUST ATTEND TIMES LEISURE WITH MY MOON RECEDING NOT BY ELEMENTS SO SNOW BUT HEAVY TEARS BADGES OF EITHER'S WOE
123,MY HEART OFT PLEAD THAT THOU IN HIM DOSS LIE A CLASSET NEVER PIERCED WITH CRYSTAL EYES BUT THE DEFENDENT DOTH THAT PLEAD DENI AND SAYS IN HIM THY FAIR APPEARANCE LIES
124,YOU ON MY ALL THE WORLD THEN I MUST STRIVE TO KNOW MY SHEMES AND PRAISES FROM YOUR TONGUE NONE ELSE TO ME NOR I TO NONE ALIVE THAT MY STEALED SENSE OR CHANGES RIGHT OR WRONG
125,OH TIS THE FIRST THIS FLATCHERY IN MY SCENE AND MY GREAT MIND MOST KINGLY DRINKS IT UP MINE I WILL KNOW WAS WHAT WITH HIS GUST IS GREEN AND TO HIS PALATE DOTH PREPARE THE CUP IF IT BE POISONED TIS THE LESS THARESS IN THAT MINE EYE LOVES IT AND DAUGHT FIRST BEGIN
126,BUT RECKONING TIME WHOSE MULINE TO ACCIDENTS CREEP IN TWIXT OF OUWS IN CHANGE DECREES OF KINGS TEN SACRED BEAUTY BLUNG TO THE SHOPEST INTENSE DIVERT STRONG MINDS TO THE COURSE OF ALTERING THINGS ALAS WHY FEARING OF TIMES TYRANNY MIGHT I NOT THEN SAY NOW I LOVE YOU BEST WHEN I WAS CERTAIN OR IN CERTAINTY CROWNING THE PRESENT DOUBTING OF THE REST
127,NO VEISI BABE THEN MIGHT I NOT SAY SO TO GIVE FULL GROW TO THAT WHICH STEW DOTH GROW
128,SO I RETURN RUBEUTE TO MY CONTENT AND GAINED BY ILL THRICE MORE THAN I HAVE SPENT
129,IT WAS THIS OBSERVATION THAT DREW FROM DOGLAS NOT IMMEDIATELY BUT LATER IN THE EVENING A REPLY THAT HAD THE INTERESTING CONSEQUENCE TO WHICH I CALL ATTENTION
130,SOMEONE ELSE TOLD A STORY NOT CARTICULARLY EFFECTIVE WHICH I SAW HE WAS NOT FOLLOWING
131,CRIED ONE OF THE WOMEN HE TOOK NO NOTICE OF HER HE LOOKED AT ME BUT AS IF INSTEAD OF ME HE SAW BUT HE SPOKE OF
132,THERE WAS A UNONNUM US A GROAN AT THIS AND MUCH REPROACH AFTER WHICH IN HIS PREOCCUPIED WAY HE EXPLAINED
133,THE STORIES WITTEN
134,I COOL ADRIGHT TO MY MAN AND ENCLOSED THE KEY HE COULD SEND DOWN THE PACKET AS HE FINDS IT
135,THE OTHERS RESENTED POSTPONEMENT BUT IT WAS JUST AS SCRUPLES THE CHARMED ME
136,TO THIS HIS ANSWER WAS PROMPT HOT THANK GOD NO AND IS THE RECOGNYOURS
137,HE HUNG FIGHTER AGAIN A WOMAN'S
138,FROM HAS BEEN DEAD THESE TWENTY YEARS
139,SHE SAID IN THE PAID DISIN QUESTION BEFORE SHE DIED
140,SHE WAS THE MOST AGREEABLE WOMAN NIGHT EVER KNOWN IN HER POSITION SHE WOULD HAVE BEEN WORTHY OF ANY WHATEVER
141,AS AND SIMPLY THAT SHE SAID SO BUT THAT I KNEW SHE HADN'T I WAS SURE I COULD SEE
142,YOU'LL LEASELY JUDGE WHY WHEN YOU HEAR BECAUSE THE THING HAD BEEN SUCH A SCARE HE CONTINUED TO FIX ME
143,YOU AWE ACUTE
144,HE QUITTED THE FIRE AND DROPPED BACK INTO HIS CHAIR
145,PROBABLY NOT TILL THE SECOND POST
146,IT WAS ALMOST THE TONE OF HOPE EVERYBODY WILL STEAK
147,CRIED THE LADIES WHOSE DEPARTURE HAD BEEN FIXED
148,MISSUS GRIFFIN HOWEVER EXPRESSED THE NEED FOR A LITTLE MONTE LIGHT
149,WHO IT WAS IT SHE WAS IN LOVE WITH THE STORY WILL TELL I TOOK UPON MYSELF TO REPLY OH I CONTRATE FOR THE STORY THE STORY WON'T TELL SAID DEGRAS  NOT IN ANY LITERAL VULGAR WAY MORE'S THE PITY THEN
150,WON'T YOU TELL DOUGLAS
151,MORE ELL IF I DON'T KNOW WHO SHE WAS IN LOVE IT I KNOW WHO HE WAS
152,LET ME SAY HERE DISTINCTLY TO HAVE DONE WITH IT THAT THIS NARRATIVE FROM AN EXACT TRANSCRIPT OF MY OWN MADE MUCH LATER IS WHAT I SHALL PRESENTLY GIVE
153,POOR DUCKPUS BEFORE HIS DEATH WHEN IT WAS IN SIGHT COMMITTED TO ME THE MANUSCRIPT THAT REACHED HIM ON THE THIRD OF THESE DAYS AND THAT ON THE SAME SPOT WITH IMMENSEFECT HE BEGAN TO READ TO OUR HUSHED LITTLE CIRCLE ON THE NIGHT OF THE FOURTH
154,THE DEPARTING LADIES WHO HAD SAID THEY WOULD STAY DIDN'T OF COURSE THANK HEAVEN STAY THEY DEPARTED IN CONSEQUENCE OF ARRANGEMENTS MADE IN A RAGE OF CURIOSITY AS THEY PROFESSED PRODUCED BY THE TOUCHES WITH WHICH HE HAD ALREADY WORKED US UP
155,THE FIRST OF THESE TOUCHES CONVEYED THAT THE WRITTEN STATEMENT TOOK UP THE TAIL AT A POINT AFTER IT HAD IN A MANNER BEGUN
156,HE HAD FOR HIS OWN TOWN RESIDENCE OF BEING HOUSE FILLED WITH THE SPOILS OF TRAVEL AND THE TROPHIES OF THE CHASE BUT IT WAS TO HIS COUNTRY HOME AN OLD FAMILY PLACE IN ESSEX THAT HE WISHED HER IMMEDIATELY TO PROCEED
157,THE OWNER THING WAS THAT THEY HAD PRACTICALLY NO OTHER RELATIONS AND THAT HIS OWN AFFAIRS TOOK A BALL HIS TIME
158,THEY WERE PLENTY OF PEOPLE TO HELP BUT OF COURSE THE YOUNG LADY WHO SHOULD GO DOWN AS GOVERNESS WOULD BE IN SUPREME AUTHORITY
159,I DON'T ANTISSIPATE
160,SHE WAS YOUNG UNTRIED NEVER IT WAS A VISION OF SERIOUS DUTIES AND LITTLE COMPANY OF REALLY GREAT LONELINESS
161,HE HAS BUT THIS TRUE THE BEAUTY OF HER PUSHION
162,IT WAS THE BEAUTY OF IT
163,IT SOUNDED DULL THAT SOUNDED STRANGE AND ALL THE MORSO BECAUSE OF HIS MAIN CONDITION WHICH WAS
164,SHE PROMISED TO DO THIS AND SHE MENTIONED TO ME THAT WENT FOR A MOMENT DISPURDENED DELIGHTED HE HELD HER HAND THINKING HER FOR THE SACRIFICE SHE ALREADY FELT REWARDED
165,BUT WAS THAT ALL HER REWARD ONE OF THE LADIES ASKED
166,HERE SHE WAS STAY COMFORTED AND SOOTHED AMONG THE LOVELY PLANTS AND RICH EXOTICS REJOICING THE HARD OF OLD TURN OF THE GARDENER WHO SITS POLLY'S FIRST RAFTEROUS ENTRANCE HAD TAKEN HER INTO HIS GOOD GRACES FOR ALL TIME
167,EVERY CHANCE SHE COULD STEAL AFTER PRACTICE HOURS WERE OVER AND AFTER THE CLAMOROUS ADMANDS OF THE BOYS UPON HER TIME WERE FULLY SATISFIED WAS SEIZED TO FLY ON THE WINGS OF THE WIND TO THE FLOWERS
168,THEN DEAR SAID MISSUS WITNEY YOU MUST BE KIND AT A HER THAN EVER THINK WHAT IT WOULD BE FOR ONE OF YOU TO BE AWAY FROM HOME EVEN AMONG FRIENDS
169,SOMEHOW OF ALL THE DAYS WHEN THE HOME FEELING WAS THE STRONGEST THIS DAY IT SEEMED AS IF SHE COULD BEAR IT NO LONGER
170,THIF SHE COULD ONLY SEE PHRONSIE FOR JUST ONE MOMENT
171,OH SHE'S ALWAYS AT THE PIANO SAID MAN SHE MUST BE THERE NOW SOMEWHERE AND THEN SOMEBODY LAUGHED
172,AT THIS THE BUNDLE OPENED SUDDENLY AND OWIC POPPED BRONSIE
173,BUT POLLY COULDN'T SPEAK I NOHAVE JASPER HADN'T CAUGHT HER JUST IN TIME SHE WOULD HAVE CUMBLED OVER BACKWARD FROM THE STOOL PHRONSIE AND ALL
174,ASKED PHRONSIE WITH HER LITTLE FACE CLOSED A POLLY'S OWN
175,NOW YOU'LL STAY CRIED MAN SAY POLLY WON'T YOU
176,OH HE WARE THE FEAREST UNFESSED MISTER KING I EVER SAW BUT HOW DID YOU MAKE MAMMY LET HER COME
177,IS ANY SPLENDID CRIED JASPER AND INTENSE PRIDE SWELLING UP FATHER KNEW HOW TO DO IT
178,THERE THERE HE SAID SOOTHINGLY PATTING HER BROWN BUT HE HAD
179,I KNOW GASPED POLLY AND JOLLING HER SOBS I WON'T ONLY I CAN'T THANK YOU
180,ASKED PHRONSIE AND INTENSE INTEREST SLIPPING DOWN UP POLLY'S ARMS AND CROWDING UP CLOSE TO JASPER SIDE
181,YES ALL ALONE BY HIMSELF ASSERTED JASPER VEHEMENTLY AND WINKING PURIOUSLY TO THE OTHERS TO STOFT THEIR LAUGHING HE DID NOW TRULY PHRONSIE
182,AH NO JAPSER I NOT GO BY MY VERY DON FELT
183,THERE JAP YOU'VE GOT IT LAUGHED PERCY WHILE THE OTHER SCREAMED OF A SIDE OF JASPER'S FACE
184,DON'T MIND AT POLLY WHISPERED JASPER TWASN'T HER FAULT
185,DEAR ME A JAFULATE OF THE OLD GENTLEMAN AND THE UTMOST AMAZEMENT AND SUCH A TIME AS I'VE HAD TO GET HER HERE TOO
186,HOW DID HER MOTHER EVER LET HER GO
187,SHE ASKED IMPULSIVELY I DIDN'T BELIEVE YOU COULD PERSUADE HER FATHER
188,I DIDN'T HAVE ANY FEARS IF I WORK TO RIFELY SET THE ALL GENTLEMAN COMPLACENTLY
189,HE CRIED AND HIGH DOTCH AND DRUST AS IF HE OWNED A WHOLE OF THE FEAVORS AND COULD DISPOSE OF THEM ALL THAT SUIT HIS FANCY
190,AND BIALD GENTLEMEN WAS SO DELIGHTED WITH HIS SUCCESS THAT HE HAD TO BURST OUT INTO A SERIES OF SHORE TO HAPPY BITS OF LAUGHTER THAT OCCUPIED QUITE A SPACE OF TIME
191,AT LAST HE CAME OUT OF THEM AND WIFE HIS FACE OF INTERESTLY
192,IT IS SIXTEEN YEARS SINCE JOHNBURGH AND DIED
193,HIS WIFE NOW LIES BESIDE HIM AND BE WHITE SHAT THAT MARKS THEIR GRAVES GLEAMS ACROSS THE WHEAT VIALS
194,FROM THE NORTHEAGE AND BRAVEYRED ONE LOOKS OUT OVER A VAST CHECKER BOARD MARKED OFF IN SQUARES OF WHEAT AND CORN LIGHT AND DART DARVE AND LIFE
195,FROM THE GRAVE YARDS GATE ONE CONCOUNT THAT DOZEN GAYLY PAINT HAD FARMHOUSES THE KILLED AT WEATHER VEINS ON THE BIG RED FARNS WEEK AT EACH OTHER A CROSS OF MEAN AND BROWN AND YELLOW FIELDS
196,THE AIR AND THE EARTH ARE FURIOUSLY MAITED AND INTERMINGLED AS IF THE ONE WERE THE BREATHS OF THE OTHER
197,HE WAS A SPLENDID FIGURE OF A BOY PAUL AND STRAIGHT AS A YOUNG PINE TREE WITH A HANDSOME HEAD AND STORMY GRAY EYES FEETLY SET UNDER A SERIOUS BROW
198,THAT'S NOT MUCH OF A JOB FOR AN APLETE HERE I'VE BEEN TO TOWN AND BATH
199,AT A VANDAL AT YOU SLEEP LIGHT
200,SHE GATHERED UP HER REIGNS
201,PLEASE WAIT FOR ME MARY AIM ILL TOAKS
202,I NEVER SEE LOSE SIDE OVER HERE
203,HOW BROWNIE OF GODS SANCE YOU CAME HOME I WISH I HAD N'T ATTELLY TO MOME MY ORDIAR
204,I GET WET TO MY KNEES WHEN I GO DOWN TO PICK CHERRIES
205,INDEED HE HAD LOOKED AWAY WITH A PURVERS OF NOT SEEING IT
206,FATING YOUR PROUD BECAUSE YOU VEN AWAY TO SCHOOL ARE SOMETHING
207,THERE WAS SOMETHING INDIVIDUAL ABOUT THE GREAT FARM A MOST UNUSUAL TRIMNESS AND CARE FOR DETAIL
208,ON EITHER SIDE OF THE ROAD FOR A MILE BEFORE YOU REACHED THE FOOT OF THE HILL STOOD TALL O SAGE AR AND CHETTAS THAT GLOSSIED MEAN MOCKING OFF THE YELLOW FIELDS
209,ANY ONE THEREABOUTS WOULD HAVE TOLD YOU THAT THIS WAS ONE OF THE RICHEST FARMS ON THE DIVIDE AND AT THE FARMER WAS A WOMAN ALEXANDROVERTSON
210,THERE IS EVEN A WHITE THRELL OF FEETHEVES AND THE ARCHARD UNDER THE WALNUT TREES
211,FRANK READ ENGLISH SPELLY AND THE MORE HE READ ABOUT THIS DIVORCE CASE THE ANGRYER HE GREW
212,MARICE SIDE
213,ABRACE GWIND HAD COME UP AND WAS DRIVING FUFFY WHITE CLOUDS ACROSS THE SKY
214,THE ARTICLE WAS SPARKLING AND RIFLING IN THE SUN
215,BHAT INVITATION DESIDED HER
216,OH BUT I'M CLANG TO GET HIS PLACE MODE
217,JUST SMELL THE WILD ROSES THEY ARE ALWAYS SO SPICY AFTER A RAIN
218,SWINE OVER HAD SO MANY OF THEM IN HERE BEFORE
219,I SUPPOSE IT'S THE WET SEASON WILL YOU HAVE TO COUGH THEM TOO
220,I SUPPOSE THAT THOUGH I THEASEN TO THEM
221,IF EXCITING TO SEE EVERYTHING GROWING SO FAST AND BEGAN THE GRASS CUT
222,OR JUST FLASHED LOOK THAT THUS FIDER WEPS ALL OVER THE GRASS
223,IN A FEW A MOMENTS HE HEARD THE CHERRIES DROPPING SMARTLY INTO THE PALE AND HE BEGAN TO SWING HIS SIGH WITH THAT LONG EVEN STROVE THAT VIEW AMARIPAN BOYS EVERYMARN
224,LIBERIE PICKED JERRIES AND SAYING SOFTLY TO HERSELF STRIPPING ONE GLITTERING RANCH AFTER ANOTHER SHIVERING WHEN SHE GOT A SHOWLER OF RAINDROPS ON HER NET AND HAIR
225,AND AMIEL MOANED HIS WAY SLOWLY DOWN TOWARD THE CHERRY TREES
226,THAT SUMMER THE REINS HAD BEEN SO MANY AND OPPORTUNE THAT IT WAS ALMOST MORE THAN SHE ARTER AND HIS MAN COULD DO THAT HE BUFF WITH THE CARS THE ORCHARD WAS A NEGLECTED WILDERNESS
227,I DON'T KNOW HOW THEM BUT I DON'T BE INZIRE
228,IF I FEEL THAT WAY I FEEL THAT WAY
229,HE REACHED OFF AMONG THE BRANCHES AND BEGAN TO PICK TO THE SWEET INCIFIT FRUIT LONG IVORY COLOURED FERRIES TIPPED WITH MAINTEPEANS LIKE LIGHT CORAL THAT FALL TO THE GROUND UNHEEDED ALL SUMMER THROUGH
230,HE DROPPED A HANDFUL INTO HER LAUGH
231,YES DON'T YOU
232,OH AT HER SO MATCH ONLY YOU SEEMS CUTTING V STAY IT ON SCHOOLTHY TREE
233,WHEN SHE USED TO FELL ME ABOUT HIM I ALWAYS WONDERED WHETHER SHE WASN'T POLITELE AND LOVE WITH HIM
234,IT WOULD SERVE YOU ALL RIGHT IF SHE WALKED OFF WITH CARLE
235,I LIKED AT TALK TO SLARL ABOUT NEW YORK AND WHAT A FELLOW CAN DO THERE
236,I'LL FAIN MEAL
237,SURE TO YOU ARE NOT THINKING OF GOING OFF THERE
